strain,phage,interaction
GCA_030068935,ON857943,0
GCA_036903335,ON857943,1
GCA_030069125,ON857943,0
GCA_036903385,ON857943,0
GCA_036903455,ON857943,0
GCA_036903365,ON857943,0
GCA_036903415,ON857943,0
GCA_030068895,ON857943,0
GCA_030069025,ON857943,1
GCA_030068985,ON857943,1
GCA_030069095,ON857943,0
GCA_030068835,ON857943,1
GCA_030068925,ON857943,0
GCA_030073475,ON857943,0
GCA_030069085,ON857943,0
GCA_030068845,ON857943,0
GCA_030073425,ON857943,1
GCA_030069035,ON857943,0
GCA_030068955,ON857943,0
GCA_030068965,ON857943,0
GCA_030069065,ON857943,0
GCA_030069145,ON857943,0
GCA_000006765,ON857943,0
GCA_030068935,ON857926,0
GCA_036903335,ON857926,0
GCA_030069125,ON857926,0
GCA_036903385,ON857926,0
GCA_036903455,ON857926,0
GCA_036903365,ON857926,0
GCA_036903415,ON857926,1
GCA_030068895,ON857926,0
GCA_030069025,ON857926,1
GCA_030068985,ON857926,1
GCA_030069095,ON857926,1
GCA_030068835,ON857926,1
GCA_030068925,ON857926,0
GCA_030073475,ON857926,0
GCA_030069085,ON857926,0
GCA_030068845,ON857926,0
GCA_030073425,ON857926,0
GCA_030069035,ON857926,0
GCA_030068955,ON857926,1
GCA_030068965,ON857926,1
GCA_030069065,ON857926,1
GCA_030069145,ON857926,0
GCA_000006765,ON857926,1
GCA_030068935,ON857928,0
GCA_036903335,ON857928,0
GCA_030069125,ON857928,0
GCA_036903385,ON857928,1
GCA_036903455,ON857928,0
GCA_036903365,ON857928,0
GCA_036903415,ON857928,1
GCA_030068895,ON857928,0
GCA_030069025,ON857928,1
GCA_030068985,ON857928,1
GCA_030069095,ON857928,1
GCA_030068835,ON857928,1
GCA_030068925,ON857928,0
GCA_030073475,ON857928,0
GCA_030069085,ON857928,0
GCA_030068845,ON857928,0
GCA_030073425,ON857928,0
GCA_030069035,ON857928,0
GCA_030068955,ON857928,1
GCA_030068965,ON857928,1
GCA_030069065,ON857928,1
GCA_030069145,ON857928,0
GCA_000006765,ON857928,1
GCA_030068935,ON857933,0
GCA_036903335,ON857933,0
GCA_030069125,ON857933,0
GCA_036903385,ON857933,0
GCA_036903455,ON857933,0
GCA_036903365,ON857933,0
GCA_036903415,ON857933,1
GCA_030068895,ON857933,0
GCA_030069025,ON857933,1
GCA_030068985,ON857933,1
GCA_030069095,ON857933,0
GCA_030068835,ON857933,1
GCA_030068925,ON857933,0
GCA_030073475,ON857933,0
GCA_030069085,ON857933,0
GCA_030068845,ON857933,0
GCA_030073425,ON857933,0
GCA_030069035,ON857933,0
GCA_030068955,ON857933,0
GCA_030068965,ON857933,1
GCA_030069065,ON857933,1
GCA_030069145,ON857933,0
GCA_000006765,ON857933,1
GCA_030068935,ON857935,0
GCA_036903335,ON857935,0
GCA_030069125,ON857935,0
GCA_036903385,ON857935,0
GCA_036903455,ON857935,0
GCA_036903365,ON857935,0
GCA_036903415,ON857935,1
GCA_030068895,ON857935,0
GCA_030069025,ON857935,1
GCA_030068985,ON857935,1
GCA_030069095,ON857935,1
GCA_030068835,ON857935,1
GCA_030068925,ON857935,0
GCA_030073475,ON857935,0
GCA_030069085,ON857935,0
GCA_030068845,ON857935,0
GCA_030073425,ON857935,0
GCA_030069035,ON857935,0
GCA_030068955,ON857935,0
GCA_030068965,ON857935,1
GCA_030069065,ON857935,1
GCA_030069145,ON857935,0
GCA_000006765,ON857935,1
GCA_030068935,ON857941,0
GCA_036903335,ON857941,0
GCA_030069125,ON857941,0
GCA_036903385,ON857941,0
GCA_036903455,ON857941,0
GCA_036903365,ON857941,0
GCA_036903415,ON857941,0
GCA_030068895,ON857941,0
GCA_030069025,ON857941,1
GCA_030068985,ON857941,0
GCA_030069095,ON857941,1
GCA_030068835,ON857941,1
GCA_030068925,ON857941,0
GCA_030073475,ON857941,0
GCA_030069085,ON857941,1
GCA_030068845,ON857941,1
GCA_030073425,ON857941,0
GCA_030069035,ON857941,0
GCA_030068955,ON857941,0
GCA_030068965,ON857941,0
GCA_030069065,ON857941,0
GCA_030069145,ON857941,0
GCA_000006765,ON857941,0
GCA_030068935,ON857932,0
GCA_036903335,ON857932,0
GCA_030069125,ON857932,0
GCA_036903385,ON857932,0
GCA_036903455,ON857932,0
GCA_036903365,ON857932,0
GCA_036903415,ON857932,0
GCA_030068895,ON857932,0
GCA_030069025,ON857932,0
GCA_030068985,ON857932,0
GCA_030069095,ON857932,0
GCA_030068835,ON857932,0
GCA_030068925,ON857932,0
GCA_030073475,ON857932,0
GCA_030069085,ON857932,0
GCA_030068845,ON857932,0
GCA_030073425,ON857932,0
GCA_030069035,ON857932,0
GCA_030068955,ON857932,0
GCA_030068965,ON857932,0
GCA_030069065,ON857932,0
GCA_030069145,ON857932,0
GCA_000006765,ON857932,0
GCA_030068935,ON857927,0
GCA_036903335,ON857927,0
GCA_030069125,ON857927,0
GCA_036903385,ON857927,0
GCA_036903455,ON857927,0
GCA_036903365,ON857927,0
GCA_036903415,ON857927,0
GCA_030068895,ON857927,0
GCA_030069025,ON857927,0
GCA_030068985,ON857927,0
GCA_030069095,ON857927,0
GCA_030068835,ON857927,1
GCA_030068925,ON857927,0
GCA_030073475,ON857927,0
GCA_030069085,ON857927,0
GCA_030068845,ON857927,0
GCA_030073425,ON857927,1
GCA_030069035,ON857927,0
GCA_030068955,ON857927,1
GCA_030068965,ON857927,0
GCA_030069065,ON857927,0
GCA_030069145,ON857927,1
GCA_000006765,ON857927,0
GCA_030068935,ON857936,0
GCA_036903335,ON857936,0
GCA_030069125,ON857936,0
GCA_036903385,ON857936,1
GCA_036903455,ON857936,1
GCA_036903365,ON857936,0
GCA_036903415,ON857936,1
GCA_030068895,ON857936,0
GCA_030069025,ON857936,1
GCA_030068985,ON857936,1
GCA_030069095,ON857936,1
GCA_030068835,ON857936,1
GCA_030068925,ON857936,1
GCA_030073475,ON857936,0
GCA_030069085,ON857936,0
GCA_030068845,ON857936,0
GCA_030073425,ON857936,0
GCA_030069035,ON857936,0
GCA_030068955,ON857936,1
GCA_030068965,ON857936,1
GCA_030069065,ON857936,0
GCA_030069145,ON857936,1
GCA_000006765,ON857936,1
GCA_030068935,ON857931,0
GCA_036903335,ON857931,0
GCA_030069125,ON857931,0
GCA_036903385,ON857931,0
GCA_036903455,ON857931,0
GCA_036903365,ON857931,0
GCA_036903415,ON857931,0
GCA_030068895,ON857931,0
GCA_030069025,ON857931,0
GCA_030068985,ON857931,0
GCA_030069095,ON857931,0
GCA_030068835,ON857931,1
GCA_030068925,ON857931,0
GCA_030073475,ON857931,1
GCA_030069085,ON857931,1
GCA_030068845,ON857931,0
GCA_030073425,ON857931,0
GCA_030069035,ON857931,1
GCA_030068955,ON857931,1
GCA_030068965,ON857931,0
GCA_030069065,ON857931,1
GCA_030069145,ON857931,0
GCA_000006765,ON857931,0
GCA_030068935,ON857939,0
GCA_036903335,ON857939,0
GCA_030069125,ON857939,0
GCA_036903385,ON857939,0
GCA_036903455,ON857939,1
GCA_036903365,ON857939,0
GCA_036903415,ON857939,0
GCA_030068895,ON857939,0
GCA_030069025,ON857939,1
GCA_030068985,ON857939,1
GCA_030069095,ON857939,0
GCA_030068835,ON857939,0
GCA_030068925,ON857939,0
GCA_030073475,ON857939,0
GCA_030069085,ON857939,0
GCA_030068845,ON857939,0
GCA_030073425,ON857939,0
GCA_030069035,ON857939,1
GCA_030068955,ON857939,1
GCA_030068965,ON857939,1
GCA_030069065,ON857939,0
GCA_030069145,ON857939,1
GCA_000006765,ON857939,0
GCA_030068935,ON857940,0
GCA_036903335,ON857940,0
GCA_030069125,ON857940,0
GCA_036903385,ON857940,0
GCA_036903455,ON857940,0
GCA_036903365,ON857940,0
GCA_036903415,ON857940,0
GCA_030068895,ON857940,0
GCA_030069025,ON857940,0
GCA_030068985,ON857940,0
GCA_030069095,ON857940,0
GCA_030068835,ON857940,0
GCA_030068925,ON857940,0
GCA_030073475,ON857940,0
GCA_030069085,ON857940,0
GCA_030068845,ON857940,0
GCA_030073425,ON857940,1
GCA_030069035,ON857940,1
GCA_030068955,ON857940,0
GCA_030068965,ON857940,1
GCA_030069065,ON857940,1
GCA_030069145,ON857940,0
GCA_000006765,ON857940,0
GCA_030068935,ON857930,0
GCA_036903335,ON857930,0
GCA_030069125,ON857930,0
GCA_036903385,ON857930,0
GCA_036903455,ON857930,1
GCA_036903365,ON857930,0
GCA_036903415,ON857930,0
GCA_030068895,ON857930,1
GCA_030069025,ON857930,1
GCA_030068985,ON857930,1
GCA_030069095,ON857930,1
GCA_030068835,ON857930,1
GCA_030068925,ON857930,1
GCA_030073475,ON857930,1
GCA_030069085,ON857930,1
GCA_030068845,ON857930,1
GCA_030073425,ON857930,1
GCA_030069035,ON857930,1
GCA_030068955,ON857930,1
GCA_030068965,ON857930,1
GCA_030069065,ON857930,0
GCA_030069145,ON857930,1
GCA_000006765,ON857930,1
GCA_030068935,ON857942,0
GCA_036903335,ON857942,0
GCA_030069125,ON857942,0
GCA_036903385,ON857942,0
GCA_036903455,ON857942,0
GCA_036903365,ON857942,0
GCA_036903415,ON857942,0
GCA_030068895,ON857942,1
GCA_030069025,ON857942,1
GCA_030068985,ON857942,0
GCA_030069095,ON857942,0
GCA_030068835,ON857942,1
